experiment,image_id,filename,method,transform,transform_parameters,alignment_mode,metric,metric_value,runtime_seconds,failure
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.059825,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.057891,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,scaling,"{""intensity"": 1.5}",none,hamming_distance,0,0.054825,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.026615,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.026782,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.027270,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,scaling,"{""intensity"": 1.5}",oracle,hamming_distance,0,0.025299,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.001196,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.001745,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.000594,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,scaling,"{""intensity"": 1.5}",estimated,hamming_distance,,0.000550,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000285,000000000285.jpg,phash,rotation,"{""intensity"": 5}",none,hamming_distance,9,0.054548,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,dhash,rotation,"{""intensity"": 5}",none,hamming_distance,6,0.045378,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,ahash,rotation,"{""intensity"": 5}",none,hamming_distance,7,0.052488,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,whash,rotation,"{""intensity"": 5}",none,hamming_distance,7,0.066568,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,phash,rotation,"{""intensity"": 5}",oracle,hamming_distance,4,0.046600,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,dhash,rotation,"{""intensity"": 5}",oracle,hamming_distance,0,0.050892,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,ahash,rotation,"{""intensity"": 5}",oracle,hamming_distance,0,0.046526,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,whash,rotation,"{""intensity"": 5}",oracle,hamming_distance,3,0.051433,
geometric_sync_pilot_v1,000000000285,000000000285.jpg,phash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000639,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000285,000000000285.jpg,dhash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000409,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000285,000000000285.jpg,ahash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.002476,OpenCV/numpy unavailable for estimated alignment
