image_id,filename,transform_name,intensity_value,pipeline_version,encode_mse,encode_psnr,decode_secret,decode_present,decode_schema,bit_accuracy,width,height,aspect_ratio,auto_cropped
000000000139,000000000139.jpg,none,,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101001110000100110000011000001100000110001,True,,1.0,640,426,1.502347,False
000000000139,000000000139.jpg,brightness,0.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1000101011001110001011011001011011010100101111101,False,,0.6122448979591837,640,426,1.502347,False
000000000139,000000000139.jpg,brightness,0.7,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101011100010011100000010111001100101011010110111,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,brightness,0.85,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1111101100000011101001011101010101100001001011100,False,,0.4489795918367347,640,426,1.502347,False
000000000139,000000000139.jpg,brightness,1.15,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000010011111100000110100010101010011110110100011,False,,0.5714285714285714,640,426,1.502347,False
000000000139,000000000139.jpg,brightness,1.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001001111001001001111101001001011011001101001101,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,brightness,2.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101101101101101101101101101101101101101101101101,False,,0.5306122448979592,640,426,1.502347,False
000000000139,000000000139.jpg,contrast,0.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1110110001111111110000010110111100100111010110011,False,,0.5510204081632653,640,426,1.502347,False
000000000139,000000000139.jpg,contrast,0.7,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1010101011001000011111101001010011011000101101000,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,contrast,0.85,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0011010101111110001101111010100001001110011111010,False,,0.5918367346938775,640,426,1.502347,False
000000000139,000000000139.jpg,contrast,1.15,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0100101010000001110010000101011110110001100100101,False,,0.40816326530612246,640,426,1.502347,False
000000000139,000000000139.jpg,contrast,1.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1000101011001110001011011001011011010100101111101,False,,0.6122448979591837,640,426,1.502347,False
000000000139,000000000139.jpg,contrast,2.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1111111111111111111111111111111111111111111111111,False,,0.3673469387755102,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,0.2,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011101101101100011111110000011000001110000101011,False,,0.7551020408163265,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,0.43,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0100100100111100010110111011001001000111000100000,False,,0.6122448979591837,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,0.66,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0101110111011100010100110000000000001100000110011,False,,0.7959183673469388,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,0.89,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011110111010101010110100000001010011110011100001,False,,0.6530612244897959,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,1.11,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0100001000101010101001011111110101100001100111010,False,,0.3877551020408163,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,1.34,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1010001000100011101011001111111111110011111101000,False,,0.24489795918367346,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,1.57,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011011011000011101001000100110110111000111111011,False,,0.42857142857142855,640,426,1.502347,False
000000000139,000000000139.jpg,saturation,1.8,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0100010010000011100000001111111111110001111110000,False,,0.3469387755102041,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,0.2,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011100111011010100100100010111010101110100100011,False,,0.7142857142857143,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,0.43,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011100011011110010100110010101010101100100110011,False,,0.7551020408163265,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,0.66,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1111010011101100100000100110011110001100000100111,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,0.89,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101010111101000100000000100011010001010010000101,False,,0.6122448979591837,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,1.11,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011110111111000110010000110101010111010110000111,False,,0.42857142857142855,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,1.34,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101110011011000000110000000101010111010100000101,False,,0.5714285714285714,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,1.57,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1111000111001110010110110000111110011100100110101,False,,0.7551020408163265,640,426,1.502347,False
000000000139,000000000139.jpg,vibrancy,1.8,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001000101101010110110100100101010011110000100001,False,,0.7142857142857143,640,426,1.502347,False
000000000139,000000000139.jpg,gaussian_blur,0.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101001110000100110000011000001100000110001,True,,1.0,640,426,1.502347,False
000000000139,000000000139.jpg,gaussian_blur,1.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101100011111110010100101100001110011100100110011,False,,0.6938775510204082,640,426,1.502347,False
000000000139,000000000139.jpg,gaussian_blur,1.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1000111001101000011011001010000000000100111110111,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,gaussian_blur,2.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1000111010000001101100000000000000000100110110111,False,,0.5714285714285714,640,426,1.502347,False
000000000139,000000000139.jpg,gaussian_blur,3.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0011001110100001101100000000000000000000010110110,False,,0.5306122448979592,640,426,1.502347,False
000000000139,000000000139.jpg,gaussian_blur,5.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011010010010011011101100000000000100110110110110,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,salt_pepper_noise,0.01,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101001110000100110000011000001100000110001,True,,1.0,640,426,1.502347,False
000000000139,000000000139.jpg,salt_pepper_noise,0.02,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101001110000100110000011000001100000110001,True,,1.0,640,426,1.502347,False
000000000139,000000000139.jpg,salt_pepper_noise,0.04,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101001110000100110000011000001100000110001,True,,1.0,640,426,1.502347,False
000000000139,000000000139.jpg,salt_pepper_noise,0.06,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101001110000100110000011000001100000110001,True,,1.0,640,426,1.502347,False
000000000139,000000000139.jpg,salt_pepper_noise,0.1,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001100101000000000100110000011000001100001110001,False,,0.9183673469387755,640,426,1.502347,False
000000000139,000000000139.jpg,salt_pepper_noise,0.15,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001110101000000000100111110010000001110000110001,False,,0.8163265306122449,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,95,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0111001000110110110111001001000110110010010010011,False,,0.3877551020408163,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,80,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0100101011010100101011010100100000000000000000000,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,65,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1111110000001110001110001111111111111111111111110,False,,0.42857142857142855,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,50,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1111110001111110001111111111111111111111111111111,False,,0.4489795918367347,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,35,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0101010101010101011010100100100100100100100100000,False,,0.5306122448979592,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,20,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101101101101101101101101101101101101101101101100,False,,0.5102040816326531,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,10,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101101101101101101101101101101101101101101101101,False,,0.5306122448979592,640,426,1.502347,False
000000000139,000000000139.jpg,jpeg_compression,5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101101101101101101101101101101101101101101101101,False,,0.5306122448979592,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,1,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,2,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,10,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,20,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,45,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,70,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,426,1.502347,False
000000000139,000000000139.jpg,rotation,90,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0111101100011100001111101101101001010100101011011,False,,0.5102040816326531,426,640,0.665625,False
000000000139,000000000139.jpg,scaling,0.25,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1110011100111110100001101011101001001000100011111,False,,0.4897959183673469,160,106,1.509434,False
000000000139,000000000139.jpg,scaling,0.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011011110001111110100001110000001000000010110000,False,,0.5714285714285714,320,213,1.502347,False
000000000139,000000000139.jpg,scaling,0.75,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001001011111100001100010011100100011111110001110,False,,0.46938775510204084,480,319,1.504702,False
000000000139,000000000139.jpg,scaling,1.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1100101010101011001101000000100110110111110010101,False,,0.4489795918367347,960,639,1.502347,False
000000000139,000000000139.jpg,scaling,2.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011010111000100111001001001100001000100100110111,False,,0.5306122448979592,1280,852,1.502347,False
000000000139,000000000139.jpg,scaling,3.0,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001111100011110100100110011001001111001111001000,False,,0.5918367346938775,1920,1278,1.502347,False
000000000139,000000000139.jpg,crop_center,0.1,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0110110111000010011101100111001100010011101100010,False,,0.4489795918367347,576,383,1.503916,False
000000000139,000000000139.jpg,crop_center,0.2,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001010101011010101011010001110000000100101010101,False,,0.6326530612244898,512,340,1.505882,False
000000000139,000000000139.jpg,crop_center,0.3,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0011110101101101101010000000110011010000010011000,False,,0.5306122448979592,448,298,1.503356,False
000000000139,000000000139.jpg,crop_center,0.4,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101100010010011100010100100101100011100011101100,False,,0.5306122448979592,384,255,1.505882,False
000000000139,000000000139.jpg,crop_center,0.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1001000101001101010010100000010011010101110010111,False,,0.6326530612244898,320,213,1.502347,False
000000000139,000000000139.jpg,crop_center,0.6,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101100011101100011101100101111100011100111101101,False,,0.5918367346938775,256,170,1.505882,False
000000000139,000000000139.jpg,crop_center,0.7,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0110110110110111000111110110110111010100100100100,False,,0.46938775510204084,192,127,1.511811,False
000000000139,000000000139.jpg,crop_center,0.8,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1000010011001001001000000000101001011011111101110,False,,0.4489795918367347,127,85,1.494118,False
000000000139,000000000139.jpg,crop_random,0.1,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1000011000111000101000111000111011011011011001000,False,,0.4489795918367347,576,383,1.503916,False
000000000139,000000000139.jpg,crop_random,0.2,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101110011111111010001101000111001000001100011100,False,,0.5510204081632653,512,340,1.505882,False
000000000139,000000000139.jpg,crop_random,0.3,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1101101100011100011101101101101101101000110110110,False,,0.5306122448979592,448,298,1.503356,False
000000000139,000000000139.jpg,crop_random,0.4,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0011100101011010010011110101101110010111011001111,False,,0.4897959183673469,384,255,1.505882,False
000000000139,000000000139.jpg,crop_random,0.5,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1011011011001001000110101010100100100100100100100,False,,0.5306122448979592,320,213,1.502347,False
000000000139,000000000139.jpg,crop_random,0.6,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0011100010010011101101100011100001111110011100011,False,,0.46938775510204084,256,170,1.505882,False
000000000139,000000000139.jpg,crop_random,0.7,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1100010111001000110111001001000001100001011010010,False,,0.4489795918367347,192,127,1.511811,False
000000000139,000000000139.jpg,crop_random,0.8,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,1110000011100010010101000001110001100011101101001,False,,0.46938775510204084,127,85,1.494118,False
000000000139,000000000139.jpg,letterbox,black,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,640,1.0,False
000000000139,000000000139.jpg,letterbox,grey,v2.1-reproducible,4.03462441314554e-05,92.07277248796291,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,640,640,1.0,False
000000000285,000000000285.jpg,none,,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1001100101001110000100110000011000001100000110001,True,,1.0,586,640,0.915625,False
000000000285,000000000285.jpg,brightness,0.5,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0011001101110010110111101001100000011001100001010,False,,0.4489795918367347,586,640,0.915625,False
000000000285,000000000285.jpg,brightness,0.7,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0110111010010010110101001000000100010111000011000,False,,0.42857142857142855,586,640,0.915625,False
000000000285,000000000285.jpg,brightness,0.85,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0101100010000101110010110111011000011110001001010,False,,0.5306122448979592,586,640,0.915625,False
000000000285,000000000285.jpg,brightness,1.15,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1010011101111010001101001100100111000001100110001,False,,0.5102040816326531,586,640,0.915625,False
000000000285,000000000285.jpg,brightness,1.5,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1010101000111100110011011001111000010101100111011,False,,0.5306122448979592,586,640,0.915625,False
000000000285,000000000285.jpg,brightness,2.0,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0100000000000100100100100100000000000000000000000,False,,0.6326530612244898,586,640,0.915625,False
000000000285,000000000285.jpg,contrast,0.5,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0011001101110010110111101001100000011001100001010,False,,0.4489795918367347,586,640,0.915625,False
000000000285,000000000285.jpg,contrast,0.7,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1001100001101100101010111111111011111101111101111,False,,0.5102040816326531,586,640,0.915625,False
000000000285,000000000285.jpg,contrast,0.85,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1010011101011000000011001111000100000001001100011,False,,0.46938775510204084,586,640,0.915625,False
000000000285,000000000285.jpg,contrast,1.15,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0101100000100110111100110000111001101100100001100,False,,0.6326530612244898,586,640,0.915625,False
000000000285,000000000285.jpg,contrast,1.5,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1010101000101100110011011001101000000100100101011,False,,0.5510204081632653,586,640,0.915625,False
000000000285,000000000285.jpg,contrast,2.0,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0000000000000000000000000000000000000000000000000,False,,0.6326530612244898,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,0.2,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1010100111001100011100101000011010011001001010101,False,,0.6938775510204082,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,0.43,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0111011101010000100000111111110110101110110011011,False,,0.4489795918367347,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,0.66,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1100010110101100101010111110000100111101010001010,False,,0.4489795918367347,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,0.89,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0110001010010100110010001001000011001100100101001,False,,0.4489795918367347,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,1.11,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1001110101101011001101110110111100110011001000110,False,,0.5510204081632653,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,1.34,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0011101001000011010101000001101001000000101100101,False,,0.5714285714285714,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,1.57,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1000100000101101011111000000001001000001001100100,False,,0.5714285714285714,586,640,0.915625,False
000000000285,000000000285.jpg,saturation,1.8,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1001100000000000000101000101101101100100100100001,False,,0.6326530612244898,586,640,0.915625,False
000000000285,000000000285.jpg,vibrancy,0.2,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0011110100000101010111111000010001001101000100010,False,,0.6530612244897959,586,640,0.915625,False
000000000285,000000000285.jpg,vibrancy,0.43,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0011110100011101001101110011000011000111000110000,False,,0.6122448979591837,586,640,0.915625,False
000000000285,000000000285.jpg,vibrancy,0.66,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,1011101101000100011101101011010011010111000111000,False,,0.5918367346938775,586,640,0.915625,False
000000000285,000000000285.jpg,vibrancy,0.89,v2.1-reproducible,1.9553469852104666e-05,95.21856524767344,0000101110011100001110100010000010010111000110001,False,,0.6326530612244898,586,640,0.915625,False
