transform_name,intensity_value,best_method,fallback_method,hash_bit_error,hash_worst_bit_error,hash_ok,trustmark_bit_accuracy,trustmark_ok,lsb_bit_accuracy,lsb_ok,dct_bit_accuracy,dct_ok,notes
scaling,2.0,trustmark,hash,0.0040,0.0222,True,0.9947,True,0.5185,True,0.4994,False,
scaling,3.0,trustmark,hash,0.0038,0.0224,True,0.9947,True,0.5323,True,0.4782,False,
crop_center,0.1,trustmark,hash,0.1252,0.3223,True,0.9956,True,0.4981,False,0.5029,True,
crop_center,0.2,trustmark,hash,0.1836,0.4661,True,0.9879,True,0.4985,False,0.4985,False,
crop_center,0.3,trustmark,hash,0.2073,0.4897,True,0.6174,True,0.4974,False,0.5034,True,
crop_center,0.4,trustmark,hash,0.2189,0.4960,True,0.5409,True,0.4981,False,0.5036,True,
crop_center,0.5,trustmark,hash,0.2250,0.4989,True,0.5361,True,0.4999,False,0.4992,False,
crop_center,0.6,trustmark,hash,0.2288,0.4981,True,0.5294,True,0.4980,False,0.4977,False,
crop_center,0.7,trustmark,dct,0.2320,0.5005,False,0.5211,True,0.4971,False,0.5001,True,TrustMark exceeds hash tolerance
crop_center,0.8,trustmark,lsb,0.2339,0.4977,True,0.5106,True,0.5025,True,0.5008,True,
crop_random,0.1,trustmark,hash,0.1489,0.4047,True,0.9954,True,0.5006,True,0.5023,True,
crop_random,0.2,trustmark,hash,0.1956,0.4811,True,0.9764,True,0.4981,False,0.5025,True,
crop_random,0.3,trustmark,hash,0.2137,0.4942,True,0.5698,True,0.4992,False,0.5033,True,
crop_random,0.4,trustmark,dct,0.2214,0.4987,True,0.5344,True,0.5017,True,0.5020,True,
crop_random,0.5,trustmark,hash,0.2263,0.4999,True,0.5290,True,0.4995,False,0.4995,False,
crop_random,0.6,trustmark,dct,0.2298,0.5014,False,0.5282,True,0.5001,True,0.5007,True,TrustMark exceeds hash tolerance
crop_random,0.7,trustmark,lsb,0.2314,0.4984,True,0.5201,True,0.5051,True,0.4976,False,
crop_random,0.8,trustmark,dct,0.2343,0.4996,True,0.5109,True,0.5000,False,0.5027,True,
letterbox,black,lsb,dct,0.1743,0.3867,True,0.5627,True,0.6452,True,0.6361,True,
letterbox,grey,lsb,dct,0.1699,0.3867,True,0.5612,True,0.6452,True,0.6359,True,
